N°,Selec,Gen Abrev
,,CDKL4
,,LOC782845
,,MAP4K3
,,LOC112448973
,,TMEM178A
,,THUMPD2
,,SLC8A1
,,LOC112448760
,,LOC104973311
,,MRPL35
,,IMMT
,,PTCD3
,,LOC112448933
,,POLR1A
,,LOC112448932
,,LOC112448788
,,ST3GAL5
,,LOC112448789
,,TRNAE-UUC
,,ATOH8
,,LOC100300483
,,LOC104968634
,,LOC112448791
,,LOC616323
,,SFTPB
,,USP39
,,LOC112448792
,,C11H2orf68
,,TMEM150A
,,VAMP5
,,VAMP8
,,GGCX
,,MAT2A
,,LOC112448793
,,SH2D6
,,CAPG
,,ELMOD3
,,RETSAT
,,TGOLN2
,,TCF7L1
,,LOC104973382
,,LOC101907084
,,KCMF1
,,LOC112448961
,,LOC112448794
,,LOC112448795
,,TMSB10
,,LOC104973383
,,LOC112448796
,,DNAH6
,,LOC112448798
,,LOC112448955
,,SUCLG1
,,LOC101903367
,,LOC104973384
,,LOC112448896
,,LAMC3
,,AIF1L
,,NUP214
,,LOC112448845
,,LOC112448927
,,FAM78A
,,LOC112448846
,,PLPP7
,,PRRC2B
,,LOC112448913
,,LOC112448912
,,POMT1
,,UCK1
,,PRRT1B
,,RAPGEF1
,,LOC112448848
,,LOC112448847
,,MED27
,,LOC112448849
,,LOC100847981
,,NTNG2
,,SETX
,,LOC112448850
,,TTF1
,,CFAP77
,,BARHL1
,,DDX31
,,GTF3C4
,,AK8
,,SPACA9
,,TSC1
,,GFI1B
,,GTF3C5
,,CEL
,,RALGDS
,,GBGT1
,,LOC112448851
,,LOC112448852
,,LOC104975788
,,LOC618559
,,LOC100848610
,,PAEP
,,GLT6D1
,,LCN9
,,SOHLH1
,,KCNT1
,,LOC104973503
,,CAMSAP1
,,UBAC1
,,LOC112448853
,,NACC2
,,LOC101907995
,,TMEM250
,,LOC112448854
,,LOC112448855
,,LHX3
,,QSOX2
,,LOC787891
,,GPSM1
,,LOC101902280
,,DNLZ
,,CARD9
,,SNAPC4
,,ENTR1
,,PMPCA
,,INPP5E
,,SEC16A
,,NOTCH1
,,LOC112448856
,,MIR126
,,AGPAT2
,,LOC101902839
,,LOC101902895
,,FAM69B
,,LOC107132967
,,LOC112448923
,,LOC112448928
,,LOC100848307
,,LOC112448857
,,ABO
,,LOC112448956
,,SURF6
,,MED22
,,RPL7A
,,LOC112448907
,,LOC112448908
,,LOC112448904
,,LOC112448903
,,LOC112448905
,,LOC100139115
,,SURF2
,,SURF4
,,STKLD1
,,LOC107132968
,,REXO4
,,ADAMTS13
,,CACFD1
,,LOC112448858
